Agency Abbreviation,Bureau Name,Program Account/Fund,Public Law,Program Name (if different),Appropriated,Announced/Allocated,Obligated,Outlayed,State,Date,Funding Source,Disaster Number
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$802,490.00","$802,490.00","$802,490.00",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$2,034,602.23","$2,034,581.48","$2,034,581.48",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$24,675,706.63","$23,539,724.91","$21,496,075.63",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$212,937.18","$212,937.18","$212,937.00",SC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$6,900.00","$6,900.00","$6,900.00",TN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$80,632.51","$80,632.51","$80,632.51",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$2,201,705.37","$2,201,705.37","$2,201,705.37",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$370,799.56","$340,907.36","$340,907.36",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$15,782.25","$15,782.25","$15,782.25",GA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$1,189.96","$1,189.96","$1,189.96",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$14,874.51","$14,874.51","$14,874.51",MD,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$1,853,658.76","$1,853,658.76","$1,853,658.76",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$7,384,628.40","$7,357,891.14","$7,357,891.14",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$224,680.25","$224,680.25","$224,680.25",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OFO,$0.00,"$4,872,194.32","$4,382,529.71","$4,382,529.95",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OI,$0.00,"$2,100,000.00","$2,090,278.32","$2,090,278.32",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OIT,$0.00,"$1,687,881.14","$1,687,881.00","$1,687,845.83",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OPR,$0.00,"$2,200.00","$2,200.00","$2,200.00",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OS,$0.00,"$6,963.23","$6,963.23","$6,963.23",DC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,OS,$0.00,"$194,575.28","$194,575.28","$194,575.28",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$142,094.41","$142,094.41","$142,094.41",AZ,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$49,448.31","$49,448.31","$49,448.31",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$466,442.00","$466,442.00","$466,442.00",DC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$211,862.21","$211,862.21","$211,862.21",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$2,458.32","$2,458.32","$2,458.32",MI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$10,023.22","$10,023.22","$10,023.22",ND,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$514,309.05","$135,399.12","$135,399.15",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$5,133,789.87","$3,145,444.55","$2,846,904.42",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Operations and Support, CBP",C- Emergency PL 115-123,USBP,$0.00,"$777,459.57","$777,459.57","$777,459.57",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Customs and Border Protection,"Procurement, Construction, and Improvements, CBP",C- Emergency PL 115-123,OFAM,$0.00,"$45,000,000.00","$45,000,000.00","$44,653,669.14",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,,$0.00,"$100,000.00",$0.00,$0.00,No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURCIO5,$0.00,"$3,500,000.00","$3,490,224.10","$3,424,147.76",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURFAC0,$0.00,"$1,933,000.00","$1,917,828.94","$1,752,255.15",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURFAC4,$0.00,"$1,790,000.00","$1,784,261.78","$1,517,647.92",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURFAC6,$0.00,"$1,150,000.00","$1,143,804.25","$1,143,804.25",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURFAC7,$0.00,"$840,000.00","$831,609.98","$831,609.98",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURFAC8,$0.00,"$1,992,000.00","$1,680,990.25","$998,344.25",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,HURFAC9,$0.00,"$100,000.00",$0.00,$0.00,PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Operations and Support, ICE",C- Emergency PL 115-123,PRTSUPP,$0.00,"$19,500,000.00","$19,323,924.23","$18,242,614.79",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Procurement, Construction, and Improvements, ICE",C- Emergency PL 115-123,HURCIO3,$0.00,"$28,602,000.00","$28,587,002.37","$21,614,534.17",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Procurement, Construction, and Improvements, ICE",C- Emergency PL 115-123,HURFAC1,$0.00,"$2,150,000.00","$2,093,101.10","$2,014,925.63",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),U.S. Immigration and Customs Enforcement,"Procurement, Construction, and Improvements, ICE",C- Emergency PL 115-123,HURFAC2,$0.00,"$2,300,000.00","$1,855,666.34","$41,399.34",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,Environmental Compliance and Restoration,C- Emergency PL 115-123,,$0.00,"$4,038,000.00","$3,812,679.64","$1,515,337.21",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",C- Emergency PL 115-123,,$0.00,"$381,262.00","$377,166.00","$363,961.00",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",C- Emergency PL 115-123,,$0.00,"$123,350.00","$122,024.00","$117,752.00",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",C- Emergency PL 115-123,,$0.00,"$89,237,829.00","$88,159,753.66","$88,621,233.16",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",C- Emergency PL 115-123,,$0.00,"$11,437,872.00","$11,314,969.00","$10,918,830.00",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",C- Emergency PL 115-123,,$0.00,"$10,955,687.00","$10,837,965.00","$10,458,527.00",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",E- Emergency PL 116-20,,$0.00,"$358,976.00","$354,004.00","$296,895.00",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",E- Emergency PL 116-20,,$0.00,$835.00,$824.00,$691.00,KY,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",E- Emergency PL 116-20,,$0.00,"$50,727.00","$50,025.00","$41,955.00",LA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",E- Emergency PL 116-20,,$0.00,"$419,699.00","$413,887.00","$347,116.00",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",E- Emergency PL 116-20,,$0.00,"$48,144,534.00","$47,521,135.95","$46,389,007.77",No State Breakdown,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Operations and Support, CG",E- Emergency PL 116-20,,$0.00,"$2,229.00","$2,198.00","$1,843.00",TN,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$176,329,000.00","$170,642,353.86","$28,655,728.81",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$30,264,000.00","$25,501,929.91","$1,734,542.73",GA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$17,085,000.00","$17,131,982.24","$14,497,699.48",NC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$81,588,397.00","$400,583,383.76","$290,526,763.26",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$328,510,000.00","$56,986,651.40","$44,629,448.62",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$2,150,000.00","$1,886,340.78","$1,074,848.39",SC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$61,800,000.00","$37,475,689.08","$15,811,347.30",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$15,068,000.00","$626,791.19","$624,190.88",USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",C- Emergency PL 115-123,,$0.00,"$2,465,000.00","$2,077,907.54","$906,090.95",VA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$5,000,000.00","$2,250,549.00","$2,245,848.40",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$68,500,000.00","$15,097,761.96","$9,840,637.87",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$1,700,000.00","$244,552.77","$113,453.86",GA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$10,000,000.00","$949,838.49","$857,442.33",LA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$147,400,000.00","$12,724,166.26","$5,338,199.48",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$98,255,000.00","$387,557,851.37","$72,546,640.88",No State Breakdown,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS (without FEMA),United States Coast Guard,"Procurement, Construction, and Improvements, CG",E- Emergency PL 116-20,,$0.00,"$139,600,000.00","$3,825,405.55","$3,375,091.93",SC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,C- Emergency PL 115-123,,$0.00,$0.00,$0.00,$0.00,No State Breakdown,30-Sep-23,"FEMA and SBA Funding for Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters",
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$22,379,975.09","$22,379,975.09","$19,515,285.76",No State Breakdown,30-Sep-23,"FEMA and SBA Funding for Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters",
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$34,891,440.35","$34,891,440.35","$12,783,203.48",TX,30-Sep-23,"FEMA and SBA Funding for Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters",4332DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$898,088.00","$898,088.00","$898,088.00",IA,30-Sep-23,"FEMA and SBA Funding for Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters",4334DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$298,795,675.11","$298,795,675.11","$298,795,675.11",USVI,30-Sep-23,"FEMA and SBA Funding for Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters",4335DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$306,389,191.82","$306,389,191.82","$303,748,448.14",PR,30-Sep-23,"FEMA and SBA Funding for Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters",4339DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$138,446.00","$138,446.00","$138,446.00",SC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4394DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$39,443,448.00","$39,443,448.00","$33,123,072.00",FL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4399DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$93,734,930.00","$93,734,930.00","$93,734,930.00",MP,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4404DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$1,851,093.00","$1,851,093.00","$521,589.00",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4407DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,N/A,Community Disaster Loans,$0.00,"$362,289.00","$362,289.00",,IA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4421DR
